County,State,Diagnosed Diabetes-2021-Percentage,%American Indian & Alaska Native Non-Hispanic-2022-Percentage
Northeastern Connecticut Planning Region,Connecticut,No Data,No Data
Northwest Hills Planning Region,Connecticut,No Data,No Data
Kalawao County,Hawaii,8.9,No Data
Wrangell-Petersburg Census Area,Alaska,No Data,No Data
Lower Connecticut River Valley Planning Region,Connecticut,No Data,No Data
Naugatuck Valley Planning Region,Connecticut,No Data,No Data
Capitol Planning Region,Connecticut,No Data,No Data
Greater Bridgeport Planning Region,Connecticut,No Data,No Data
Prince of Wales - Outer Ketchikan,Alaska,No Data,No Data
Valdez-Cordova Census Area,Alaska,No Data,No Data
Skagway-Hoonah-Angoon,Alaska,No Data,No Data
Wade Hampton Census Area,Alaska,No Data,No Data
Western Connecticut Planning Region,Connecticut,No Data,No Data
South Central Connecticut Planning Region,Connecticut,No Data,No Data
Southeastern Connecticut Planning Region,Connecticut,No Data,No Data
Val Verde County,Texas,7.3,0.99
Forsyth County,North Carolina,9.6,0.99
Mccone County,Montana,6.3,0.99
Rawlins County,Kansas,7,0.99
Burke County,North Carolina,7.9,0.99
Orange County,New York,8.4,0.99
Cottonwood County,Minnesota,8.5,0.99
Texas County,Missouri,9.7,0.99
Marshall County,Iowa,8.8,0.99
Marin County,California,6.1,0.99
Lanier County,Georgia,8.8,0.99
Cache County,Utah,7.9,1
Cameron Parish,Louisiana,7.7,1
Saline County,Missouri,9,1
Caroline County,Maryland,12.2,1
Johnston County,North Carolina,10.3,1
Christian County,Missouri,6.8,1
Anson County,North Carolina,8.2,1
Phillips County,Kansas,8.1,1
Taylor County,Florida,No Data,1
San Juan County,Colorado,7.2,1
Van Zandt County,Texas,8.3,1.01
Llano County,Texas,7,1.01
Montgomery County,Texas,9.3,1.01
Piute County,Utah,6.8,1.01
Merrick County,Nebraska,8.5,1.01
Kleberg County,Texas,7.9,1.01
Plymouth County,Iowa,7.7,1.01
Whitman County,Washington,7.3,1.02
Parker County,Texas,8.4,1.02
York County,Nebraska,9.1,1.02
Cedar County,Missouri,8.2,1.02
Kalkaska County,Michigan,8,1.02
Jefferson County,Kansas,9,1.02
Ogemaw County,Michigan,7.6,1.02
Rush County,Kansas,8,1.02
Park County,Wyoming,6.3,1.03
Island County,Washington,7.8,1.03
Grimes County,Texas,7.5,1.03
Granville County,North Carolina,7.9,1.03
Taylor County,Texas,8.8,1.03
Lancaster County,Nebraska,8.1,1.03
Jefferson County,Nebraska,6.7,1.03
Hickory County,Missouri,7.5,1.03
Pender County,North Carolina,8.4,1.03
Marshall County,Minnesota,7.2,1.03
Jones County,North Carolina,7.9,1.03
West Carroll Parish,Louisiana,8.1,1.03
Crow Wing County,Minnesota,7.3,1.03
Presque Isle County,Michigan,7.7,1.03
Milwaukee County,Wisconsin,9.4,1.04
Hood County,Texas,8.2,1.04
King County,Washington,6.5,1.04
Kaufman County,Texas,8.4,1.04
Sanborn County,South Dakota,8.3,1.04
Austin County,Texas,7.9,1.04
Lake County,Michigan,7.5,1.04
Bates County,Missouri,9.1,1.04
Logan County,Nebraska,7.4,1.04
Graham County,Kansas,7.7,1.04
Bear Lake County,Idaho,8.5,1.04
Clinch County,Georgia,8.7,1.04
Cook County,Georgia,9.8,1.04
Onslow County,North Carolina,10.3,1.05
Harvey County,Kansas,7,1.05
Franklin County,Idaho,8.8,1.05
Kiowa County,Colorado,7.1,1.05
Wabaunsee County,Kansas,7.8,1.05
Perry County,Arkansas,7.8,1.05
Habersham County,Georgia,7.6,1.05
Orange County,California,8,1.05
New Kent County,Virginia,7.2,1.06
Gilmer County,West Virginia,9.8,1.06
Essex County,Virginia,9.9,1.06
Jasper County,South Carolina,9.4,1.06
Henderson County,Texas,8.2,1.06
Liberty County,Montana,7.7,1.06
Oscoda County,Michigan,7.2,1.06
Gallatin County,Montana,4.7,1.06
Wallowa County,Oregon,8.2,1.06
Franklin County,Kansas,9.1,1.06
Martin County,Florida,No Data,1.06
Placer County,California,6.1,1.06
Wood County,Texas,7.4,1.06
Wilson County,Texas,6.9,1.07
Brown County,Texas,7.3,1.07
Baylor County,Texas,7.4,1.07
Leon County,Texas,7.1,1.07
Mitchell County,North Carolina,6.9,1.07
Franklin County,North Carolina,9.1,1.07
Clark County,South Dakota,7.5,1.07
Benton County,Oregon,5.8,1.07
Dade County,Missouri,7.1,1.07
St. Bernard Parish,Louisiana,11.1,1.07
Valley County,Idaho,6.5,1.07
Fulton County,Arkansas,7.8,1.07
Kane County,Illinois,8.5,1.07
Sussex County,Delaware,9.1,1.07
Shelby County,Texas,8,1.08
Guadalupe County,Texas,7.5,1.08
Jefferson County,Texas,11.7,1.08
Billings County,North Dakota,7.8,1.08
Berks County,Pennsylvania,9.2,1.08
Westchester County,New York,7.3,1.08
Mason County,Michigan,9.5,1.08
Murray County,Georgia,9.4,1.08
Stone County,Arkansas,7.6,1.08
Prince William County,Virginia,8.4,1.09
Mcintosh County,North Dakota,8.9,1.09
Hill County,Texas,8,1.09
Pulaski County,Missouri,8.8,1.09
Judith Basin County,Montana,7,1.09
Cheyenne County,Nebraska,8.4,1.09
Contra Costa County,California,7.9,1.09
Navarro County,Texas,9.4,1.1
Polk County,Wisconsin,8,1.1
Hopkins County,Texas,7.2,1.1
Wayne County,Utah,6.7,1.1
San Patricio County,Texas,11.2,1.1
Bosque County,Texas,7.3,1.1
Throckmorton County,Texas,7,1.1
Taney County,Missouri,9.3,1.1
Butler County,Kansas,10.2,1.1
Scott County,Minnesota,6.8,1.1
Lincoln County,Wyoming,7.3,1.1
Trinity County,Texas,8.9,1.11
San Juan County,Washington,4.7,1.11
Rusk County,Texas,7.8,1.11
Dewitt County,Texas,7.3,1.11
St. Lawrence County,New York,10.8,1.11
Clackamas County,Oregon,7.3,1.11
Wapello County,Iowa,10.2,1.11
Allen County,Kansas,10.2,1.11
Pope County,Arkansas,10.3,1.11
Hennepin County,Minnesota,7.2,1.11
Newton County,Texas,7.6,1.11
Florence County,Wisconsin,7.5,1.11
Sabine County,Texas,8.3,1.12
El Paso County,Texas,10.8,1.12
Bell County,Texas,11.1,1.12
Deschutes County,Oregon,6.2,1.12
Dickinson County,Michigan,7.4,1.12
Butte County,Idaho,7.5,1.12
Fremont County,Idaho,7.9,1.12
Sharp County,Arkansas,8.3,1.12
Shackelford County,Texas,6.9,1.13
Bowie County,Texas,8.4,1.13
Gaines County,Texas,7.4,1.13
Box Elder County,Utah,8.1,1.13
Childress County,Texas,7.2,1.13
Mclennan County,Texas,8.5,1.13
Natchitoches Parish,Louisiana,10.4,1.13
Morgan County,Alabama,10.9,1.13
Alameda County,California,7.7,1.13
Teton County,Wyoming,4.4,1.14
Dallas County,Texas,9.4,1.14
Emmons County,North Dakota,7.5,1.14
Turner County,South Dakota,8.8,1.14
Nash County,North Carolina,10.8,1.14
Calhoun County,Texas,8,1.14
Dickinson County,Kansas,8.6,1.14
Kingman County,Kansas,8.7,1.14
Jerauld County,South Dakota,7.2,1.15
Buena Vista City,Virginia,7.2,1.15
Desoto County,Florida,No Data,1.15
Custer County,Idaho,6.8,1.15
Pawnee County,Kansas,9.3,1.15
Sublette County,Wyoming,6.6,1.16
Jim Wells County,Texas,7.8,1.16
Medina County,Texas,7.5,1.16
Lee County,Texas,7.3,1.16
Harris County,Texas,9.7,1.16
Beaufort County,North Carolina,9.1,1.16
Larimer County,Colorado,6.4,1.16
Gem County,Idaho,8.5,1.16
Lehigh County,Pennsylvania,9.7,1.17
Palo Pinto County,Texas,7.6,1.17
Crook County,Wyoming,5.7,1.17
Chambers County,Texas,8,1.17
Karnes County,Texas,7.1,1.17
Renville County,North Dakota,7.8,1.17
Holmes County,Florida,No Data,1.17
Marion County,Arkansas,6.7,1.17
Irion County,Texas,7.1,1.18
Duval County,Texas,7,1.18
Tom Green County,Texas,7.5,1.18
Washington County,Oregon,7.9,1.18
Callahan County,Texas,7.3,1.18
Carter County,Missouri,7.7,1.18
Dent County,Missouri,7.5,1.18
Mills County,Texas,7.2,1.18
Sweet Grass County,Montana,6.9,1.18
Ravalli County,Montana,7.2,1.18
Santa Clara County,California,8,1.18
Briscoe County,Texas,7.2,1.19
Divide County,North Dakota,8.2,1.19
Genesee County,New York,9.4,1.19
Mchenry County,North Dakota,7.3,1.19
Ripley County,Missouri,11.4,1.19
Douglas County,Missouri,7.3,1.19
Marshall County,Alabama,9.6,1.19
Niagara County,New York,11.8,1.19
Decatur County,Kansas,7.2,1.19
Thomas County,Kansas,9.2,1.19
Marion County,Texas,7.5,1.2
Garza County,Texas,7.3,1.2
Travis County,Texas,7.2,1.2
Washington County,North Carolina,9,1.2
Brown County,Illinois,7.4,1.2
Kingsbury County,South Dakota,8.3,1.21
Camp County,Texas,7.4,1.21
Van Buren County,Michigan,8.5,1.21
Jefferson County,Idaho,8.3,1.21
Albany County,Wyoming,6.7,1.22
Robertson County,Texas,8,1.22
Randolph County,North Carolina,10,1.22
Nolan County,Texas,7.7,1.23
Wise County,Texas,7.8,1.23
Edmunds County,South Dakota,6.3,1.23
Dimmit County,Texas,7.2,1.23
Jefferson County,Colorado,6,1.23
Arapahoe County,Colorado,7,1.23
Logan County,Arkansas,9.3,1.23
Upshur County,Texas,7.5,1.24
Lubbock County,Texas,11,1.24
Bourbon County,Kansas,8.6,1.24
Yuma County,Colorado,8.4,1.24
Clarke County,Iowa,7.6,1.24
Kerr County,Texas,8.1,1.25
Barron County,Wisconsin,7.8,1.25
Refugio County,Texas,7.2,1.25
Midland County,Texas,6.7,1.25
Colorado County,Texas,7.5,1.25
Moore County,North Carolina,7.2,1.25
Chatham County,North Carolina,8,1.25
Cass County,Michigan,8.9,1.25
Dukes County,Massachusetts,6.5,1.25
Hardee County,Florida,No Data,1.25
Madison County,Texas,7.4,1.26
Burnet County,Texas,7.1,1.26
Juab County,Utah,7.6,1.26
Hood River County,Oregon,7.1,1.26
Scott County,Kansas,6.9,1.26
Beauregard Parish,Louisiana,9.2,1.26
Gillespie County,Texas,6.8,1.27
Jack County,Texas,7.3,1.27
Clark County,Washington,8,1.27
Clark County,Nevada,9.8,1.27
Wheeler County,Nebraska,7.4,1.27
Holt County,Missouri,9.4,1.27
New York County,New York,6.8,1.27
Finney County,Kansas,10.3,1.27
Kootenai County,Idaho,6.6,1.27
Geneva County,Alabama,11.1,1.27
Crawford County,Kansas,9.5,1.27
Grand Traverse County,Michigan,6.5,1.27
Custer County,Colorado,7.5,1.27
Oneida County,Wisconsin,7.6,1.28
Lincoln County,Nebraska,9.7,1.28
Ozark County,Missouri,7.7,1.28
Dickey County,North Dakota,7.6,1.28
Marion County,Georgia,8.3,1.28
King County,Texas,7.2,1.29
Hays County,Texas,8.4,1.29
Frio County,Texas,7.1,1.29
Antrim County,Michigan,7.4,1.29
La Salle County,Texas,6.9,1.29
Bexar County,Texas,10.2,1.29
San Jacinto County,Texas,7.3,1.29
Goliad County,Texas,7.3,1.29
Park County,Montana,6.4,1.29
Meagher County,Montana,7.6,1.29
Penobscot County,Maine,9,1.29
Hinsdale County,Colorado,7.1,1.29
Napa County,California,6.7,1.29
Grady County,Georgia,10.4,1.29
Avoyelles Parish,Louisiana,9.7,1.29
Platte County,Wyoming,7.6,1.3
Franklin County,Texas,7.2,1.3
Lampasas County,Texas,8.3,1.3
Flathead County,Montana,6.3,1.3
Hamilton County,Florida,No Data,1.3
Laramie County,Wyoming,8.1,1.3
Hunt County,Texas,9.2,1.31
Grant County,South Dakota,7,1.31
Falls County,Texas,7.6,1.31
Tyrrell County,North Carolina,8.2,1.31
Mcculloch County,Texas,7.2,1.31
Hyde County,North Carolina,7.9,1.31
Winston County,Mississippi,14.4,1.31
Bonneville County,Idaho,9.4,1.31
Johnson County,Arkansas,10,1.31
Solano County,California,9,1.31
Nevada County,California,5.8,1.31
New London County,Connecticut,8.2,1.31
Uvalde County,Texas,7.3,1.32
Coryell County,Texas,10.3,1.32
Barton County,Kansas,9,1.32
Coffey County,Kansas,7.7,1.32
Yell County,Arkansas,9,1.32
Adams County,Wisconsin,7.8,1.33
Emery County,Utah,10.1,1.33
Burleson County,Texas,7.2,1.33
Cimarron County,Oklahoma,6.8,1.33
Harrison County,Texas,7.6,1.33
Lawrence County,Missouri,7.5,1.33
Barry County,Missouri,7.8,1.33
Sedgwick County,Kansas,10.6,1.33
De Soto Parish,Louisiana,9.9,1.33
Eastland County,Texas,7,1.34
Steele County,North Dakota,8.3,1.34
Sumner County,Kansas,9.2,1.34
Liberty County,Florida,No Data,1.34
Boise County,Idaho,7.7,1.34
Cass County,Indiana,9.1,1.34
Montgomery County,North Carolina,8.4,1.35
Hudson County,New Jersey,9.7,1.35
San Diego County,California,8.4,1.35
Osborne County,Kansas,7.2,1.35
Lemhi County,Idaho,7.7,1.35
Eagle County,Colorado,5.8,1.35
Bedford County,Tennessee,8.2,1.36
Douglas County,Nebraska,9.1,1.36
Lasalle Parish,Louisiana,7.6,1.36
Union County,Oregon,9.1,1.36
El Dorado County,California,6.4,1.36
Haskell County,Texas,7.1,1.37
Manassas City,Virginia,8.5,1.37
Reeves County,Texas,7.3,1.37
Milam County,Texas,7.8,1.37
Terry County,Texas,7.2,1.37
Potter County,Texas,7.7,1.37
Wyandotte County,Kansas,14,1.37
Fisher County,Texas,7.1,1.38
Weber County,Utah,9.1,1.38
Daggett County,Utah,7.4,1.38
Lincoln County,Montana,8.1,1.38
Lee County,North Carolina,9.2,1.38
Stillwater County,Montana,7.9,1.38
Pike County,Arkansas,7.7,1.38
Geary County,Kansas,9.8,1.38
Woodson County,Kansas,8.9,1.38
Watonwan County,Minnesota,6.8,1.38
Colquitt County,Georgia,8.6,1.38
Kittitas County,Washington,8,1.39
Aransas County,Texas,7.8,1.39
Shannon County,Missouri,8.9,1.39
Monroe County,Alabama,9.4,1.39
Arenac County,Michigan,7,1.39
Twin Falls County,Idaho,8,1.39
Camas County,Idaho,7.1,1.39
Phillips County,Colorado,7.7,1.39
Russell County,Kansas,6.9,1.39
Kimble County,Texas,7.3,1.4
Tooele County,Utah,10.5,1.4
Schleicher County,Texas,7.2,1.4
Montague County,Texas,7.1,1.4
Pratt County,Kansas,9.4,1.4
Clark County,Kansas,6.9,1.4
Zavala County,Texas,9,1.41
Sheridan County,Wyoming,7.5,1.41
Sauk County,Wisconsin,7.8,1.41
Scurry County,Texas,7.1,1.41
Wibaux County,Montana,7.4,1.41
Grant Parish,Louisiana,8.6,1.41
El Paso County,Colorado,7,1.41
Brookings County,South Dakota,8.6,1.42
Grand Isle County,Vermont,7.2,1.42
Young County,Texas,7.8,1.42
Kidder County,North Dakota,6.3,1.42
Prince George&#39;s County,Maryland,11.3,1.42
Queens County,New York,10.8,1.42
Natrona County,Wyoming,7.3,1.43
Blanco County,Texas,7.1,1.43
Matagorda County,Texas,8.2,1.43
Limestone County,Texas,7.6,1.43
Shawnee County,Kansas,11.3,1.43
Lyon County,Kansas,8.9,1.43
Searcy County,Arkansas,8.6,1.43
Comanche County,Kansas,8.1,1.43
Fallon County,Montana,7.5,1.43
Converse County,Wyoming,8.6,1.44
Donley County,Texas,7.4,1.44
Doniphan County,Kansas,7.5,1.44
Washington County,Florida,No Data,1.44
Carroll County,Arkansas,8.7,1.44
Park County,Colorado,6.5,1.44
Coffee County,Alabama,9.7,1.44
Fayette County,Texas,7.6,1.45
Dawson County,Texas,7.1,1.45
Monroe County,Wisconsin,7.6,1.45
Salt Lake County,Utah,8.6,1.45
Goodhue County,Minnesota,6.9,1.45
San Luis Obispo County,California,8.2,1.45
Prairie County,Montana,7.1,1.45
Chattahoochee County,Georgia,8.2,1.45
Uinta County,Wyoming,7.7,1.46
Fannin County,Texas,7.1,1.46
Erath County,Texas,7.4,1.46
Nobles County,Minnesota,8.7,1.46
Barber County,Kansas,7.2,1.46
Teller County,Colorado,6.7,1.46
Newton County,Arkansas,7.9,1.46
Waller County,Texas,7.8,1.47
Wichita County,Texas,11.7,1.47
Winchester City,Virginia,7.3,1.47
Lake Of The Woods County,Minnesota,7.5,1.47
Oregon County,Missouri,8,1.47
Coleman County,Texas,7.5,1.48
Sargent County,North Dakota,8.1,1.48
Benzie County,Michigan,7.8,1.48
Moffat County,Colorado,7.4,1.48
Lane County,Kansas,8,1.48
Oceana County,Michigan,7.8,1.48
Clear Creek County,Colorado,7.8,1.48
Hockley County,Texas,7.2,1.49
Comanche County,Texas,7,1.5
Trempealeau County,Wisconsin,7.1,1.5
Benton County,Washington,8.3,1.5
Hertford County,North Carolina,9.9,1.5
Reynolds County,Missouri,8,1.5
Rains County,Texas,7.2,1.51
Liberty County,Texas,7.8,1.51
Sioux County,Nebraska,6.8,1.51
Live Oak County,Texas,6.9,1.51
Cooke County,Texas,7.2,1.51
Alamance County,North Carolina,9.1,1.51
Sweetwater County,Wyoming,8.1,1.52
Barnes County,North Dakota,8.5,1.52
Stonewall County,Texas,7.2,1.52
Atascosa County,Texas,7.1,1.52
Garden County,Nebraska,7.3,1.52
Clatsop County,Oregon,7.3,1.52
Multnomah County,Oregon,7.6,1.52
Adams County,Nebraska,9.8,1.52
Rice County,Kansas,8.1,1.52
Los Angeles County,California,9.9,1.52
Jackson County,Alabama,8.9,1.52
Santa Cruz County,Arizona,7.7,1.52
Whitfield County,Georgia,11.4,1.52
Walla Walla County,Washington,7.7,1.53
Traill County,North Dakota,7.4,1.53
Carbon County,Montana,6.6,1.53
Chippewa County,Minnesota,9.4,1.53
Neosho County,Kansas,9.8,1.53
Delta County,Colorado,6.6,1.53
Hudspeth County,Texas,7.2,1.54
King William County,Virginia,8.5,1.54
Hardeman County,Texas,7.4,1.54
Broadwater County,Montana,6.1,1.54
Clay County,Nebraska,8.1,1.54
Floyd County,Texas,7,1.55
Freestone County,Texas,7.6,1.55
Jones County,Texas,7.3,1.55
Golden Valley County,North Dakota,7.3,1.55
Los Alamos County,New Mexico,6,1.55
San Saba County,Texas,7,1.55
Wilson County,Kansas,8.6,1.55
Wichita County,Kansas,9.1,1.55
Saline County,Nebraska,7.8,1.56
Morris County,Texas,7.5,1.57
Lake County,South Dakota,6.9,1.57
Bandera County,Texas,7.3,1.57
Ector County,Texas,7.3,1.57
Johnson County,Nebraska,6.5,1.57
Pecos County,Texas,7,1.57
Seward County,Kansas,8.6,1.57
Stephens County,Texas,7.3,1.58
Mesa County,Colorado,7.4,1.58
Lane County,Oregon,8.4,1.59
Sevier County,Utah,8.5,1.59
Columbia County,Oregon,9,1.59
Duplin County,North Carolina,9.2,1.59
Cass County,North Dakota,8.2,1.59
Calhoun County,Florida,No Data,1.59
San Miguel County,Colorado,6.9,1.59
Okeechobee County,Florida,No Data,1.59
Blaine County,Idaho,5.1,1.6
Sacramento County,California,9.4,1.6
Providence County,Rhode Island,9.7,1.61
Andrews County,Texas,7.1,1.61
Iron County,Michigan,7.3,1.61
Barton County,Missouri,8.7,1.61
Crosby County,Texas,7.1,1.62
Juneau County,Wisconsin,7.5,1.62
Clay County,Texas,7.7,1.62
Baker County,Oregon,7.3,1.62
Montgomery County,Arkansas,8.1,1.62
Washington County,Idaho,7.9,1.62
Washburn County,Wisconsin,5.8,1.63
Snohomish County,Washington,7.9,1.63
Saluda County,South Carolina,10.4,1.63
Carson County,Texas,7.2,1.63
Emmet County,Iowa,8.4,1.63
Howard County,Arkansas,9,1.63
Wilbarger County,Texas,8.1,1.65
Tillamook County,Oregon,7.3,1.65
Cumberland County,New Jersey,10.1,1.65
Charlton County,Georgia,9.3,1.65
Gilpin County,Colorado,6.9,1.65
Reagan County,Texas,7.3,1.66
Washington County,Arkansas,9.6,1.66
Iron County,Wisconsin,7.5,1.67
Meade County,Kansas,8.3,1.67
Parmer County,Texas,7.2,1.68
Knox County,Texas,7.1,1.68
Sanpete County,Utah,6.6,1.69
Somervell County,Texas,7.1,1.69
Renville County,Minnesota,7.3,1.69
Weld County,Colorado,7.8,1.69
Washakie County,Wyoming,7.4,1.7
Cherokee County,Texas,8.4,1.7
Washington County,Utah,6.9,1.7
Passaic County,New Jersey,8.6,1.7
Hidalgo County,New Mexico,7,1.7
Vernon Parish,Louisiana,10.9,1.7
Sedgwick County,Colorado,7.1,1.7
Ochiltree County,Texas,7.1,1.71
Ward County,Texas,7.7,1.71
Goshen County,Wyoming,7.4,1.71
Harnett County,North Carolina,9.2,1.71
Carbon County,Utah,8.4,1.71
Canyon County,Idaho,11.2,1.71
Niobrara County,Wyoming,6.4,1.72
Oconto County,Wisconsin,7.5,1.72
Kitsap County,Washington,8.9,1.72
Burke County,North Dakota,7.3,1.72
Foster County,North Dakota,8.3,1.72
Charlevoix County,Michigan,7.1,1.72
Dixon County,Nebraska,7.2,1.72
Stevens County,Kansas,7.9,1.72
Campbell County,Wyoming,7.7,1.73
Texas County,Oklahoma,9.4,1.73
Archer County,Texas,7.2,1.73
Fergus County,Montana,5.8,1.73
Jackson County,Oregon,7.5,1.73
Greenwood County,Kansas,8.2,1.73
Stevens County,Minnesota,7.5,1.73
Cherokee County,North Carolina,9.3,1.74
Garfield County,Colorado,6.4,1.74
Sherman County,Texas,7.2,1.75
Beadle County,South Dakota,7.8,1.75
Hutchinson County,South Dakota,6.8,1.75
Mccook County,South Dakota,8.4,1.75
Crook County,Oregon,7.8,1.75
Bradley County,Arkansas,9,1.75
Plaquemines Parish,Louisiana,8,1.75
Shoshone County,Idaho,8.9,1.75
Kane County,Utah,6.9,1.76
Kent County,Texas,7.1,1.76
Little River County,Arkansas,7.9,1.76
Howard County,Texas,8,1.77
Josephine County,Oregon,7.1,1.77
Harper County,Kansas,8.7,1.77
Kit Carson County,Colorado,7.5,1.77
Denver County,Colorado,6.7,1.77
Brown County,Nebraska,7.7,1.78
Chaffee County,Colorado,5.7,1.78
Elmore County,Idaho,8.6,1.78
Yolo County,California,7.9,1.79
Cheyenne County,Colorado,7.2,1.79
Franklin County,Washington,8.1,1.8
Sutton County,Texas,7.1,1.8
Haskell County,Kansas,6.5,1.82
Linn County,Oregon,9.1,1.82
Franklin County,Alabama,7.5,1.82
Payette County,Idaho,9.1,1.82
Sterling County,Texas,7.2,1.83
Montrose County,Colorado,7.6,1.83
Mitchell County,Texas,7.5,1.83
Logan County,Colorado,7.5,1.83
Rio Blanco County,Colorado,6.8,1.83
Adams County,Idaho,7.3,1.83
Thurston County,Washington,8.9,1.84
Pierce County,Washington,9.7,1.84
Caldwell County,Texas,8.3,1.84
Armstrong County,Texas,7.1,1.84
Franklin County,Arkansas,8.3,1.84
Hall County,Texas,7.4,1.85
King And Queen County,Virginia,8.7,1.85
Gray County,Texas,7.4,1.85
Ness County,Kansas,8.1,1.85
Atkinson County,Georgia,7.9,1.85
Madison County,Arkansas,8.2,1.85
Wahkiakum County,Washington,10.4,1.86
Hansford County,Texas,7.1,1.86
Gonzales County,Texas,7.4,1.86
Dodge County,Nebraska,8.2,1.86
Fremont County,Colorado,7.8,1.86
Spokane County,Washington,8.7,1.87
Maverick County,Texas,11.9,1.87
Cochise County,Arizona,8,1.87
Grayson County,Texas,7,1.88
Menard County,Texas,7.2,1.88
Sullivan County,Missouri,9.2,1.88
Manassas Park City,Virginia,7.8,1.89
Lincoln County,Colorado,6.9,1.89
Moore County,Texas,7.1,1.9
Red River County,Texas,7.5,1.9
Crawford County,Iowa,8.8,1.9
Hendry County,Florida,No Data,1.9
Hale County,Texas,7.7,1.91
Columbia County,Washington,8.8,1.91
Petroleum County,Montana,7.4,1.91
Martin County,Texas,7.1,1.92
Clay County,Minnesota,7.7,1.92
Grant County,North Dakota,7.2,1.92
Ventura County,California,7.8,1.92
Cassia County,Idaho,9.8,1.92
Hemphill County,Texas,7,1.93
Jefferson County,Washington,6.3,1.93
Langlade County,Wisconsin,8.1,1.93
Benton County,Arkansas,9.1,1.93
Outagamie County,Wisconsin,8.4,1.94
Thomas County,Nebraska,7.1,1.94
Johnson County,Wyoming,6.3,1.94
Presidio County,Texas,7.2,1.95
Boyd County,Nebraska,7.8,1.95
Jasper County,Missouri,10.5,1.95
Santa Cruz County,California,6.8,1.95
Kenedy County,Texas,7.2,1.96
Aroostook County,Maine,11.1,1.96
Cumberland County,North Carolina,12.2,1.96
Ontonagon County,Michigan,7.5,1.96
Boundary County,Idaho,8.4,1.96
Nye County,Nevada,8.7,1.96
Ford County,Kansas,9.2,1.96
Asotin County,Washington,9.1,1.97
Cavalier County,North Dakota,8.1,1.97
Douglas County,Wisconsin,7.4,1.98
Yamhill County,Oregon,8.7,1.98
Swisher County,Texas,7.1,1.99
Deaf Smith County,Texas,7.1,1.99
Teton County,Montana,6.6,1.99
Oldham County,Texas,7.1,2
Big Horn County,Wyoming,8.6,2
Platte County,Nebraska,9,2
Campbell County,South Dakota,6.7,2
Polk County,Minnesota,10.5,2
Jefferson County,Montana,7.1,2
Musselshell County,Montana,7.5,2
Riverside County,California,9.8,2
Lamar County,Texas,7.5,2.01
Stark County,North Dakota,7.7,2.02
Runnels County,Texas,7.1,2.03
Malheur County,Oregon,7.4,2.03
Grant County,Oregon,7.1,2.04
Monona County,Iowa,7.8,2.04
Red Lake County,Minnesota,8.5,2.04
Marquette County,Michigan,6.9,2.04
Deuel County,Nebraska,7.3,2.05
Chelan County,Washington,6.9,2.06
Wheeler County,Texas,7.3,2.06
Prowers County,Colorado,7.6,2.07
Lewis County,Washington,8.2,2.08
Stafford County,Kansas,8.1,2.08
Crane County,Texas,7.5,2.09
Spink County,South Dakota,7.3,2.09
Stutsman County,North Dakota,7,2.09
Calaveras County,California,6.9,2.09
San Joaquin County,California,9.9,2.09
Lynn County,Texas,7.5,2.1
Lea County,New Mexico,10.1,2.1
Pipestone County,Minnesota,7,2.1
Dekalb County,Alabama,9.2,2.1
Weston County,Wyoming,8.8,2.11
Bastrop County,Texas,9.4,2.11
Lewis And Clark County,Montana,7.8,2.11
Pennington County,Minnesota,6.6,2.11
Carbon County,Wyoming,7.4,2.12
Lawrence County,South Dakota,6.3,2.13
Lamb County,Texas,7.3,2.13
Dundy County,Nebraska,7.6,2.14
Stanislaus County,California,9.5,2.14
Powder River County,Montana,8.1,2.14
Jeff Davis County,Texas,7.2,2.15
Douglas County,Oregon,7.9,2.15
Yoakum County,Texas,7.1,2.16
Sheridan County,North Dakota,7.8,2.16
Roseau County,Minnesota,8.4,2.16
Amador County,California,7.5,2.16
Douglas County,Nevada,6.7,2.17
Polk County,Texas,11.5,2.17
Elk County,Kansas,9.1,2.17
Santa Barbara County,California,8.6,2.17
San Bernardino County,California,11.2,2.17
Storey County,Nevada,7.4,2.18
Yavapai County,Arizona,6.2,2.18
Hutchinson County,Texas,7.1,2.19
Millard County,Utah,8.3,2.19
Concho County,Texas,7.3,2.19
Beaverhead County,Montana,7,2.19
Beaver County,Utah,7.6,2.2
Winkler County,Texas,7.2,2.2
Cowlitz County,Washington,8.5,2.21
Morrill County,Nebraska,8.3,2.21
Hot Springs County,Wyoming,6.8,2.22
Hamilton County,Texas,7.3,2.22
Mineral County,Montana,7.1,2.23
Washoe County,Nevada,7.5,2.26
Jerome County,Idaho,8.3,2.26
Sonoma County,California,7.4,2.27
Lincoln County,Washington,7.8,2.28
Gilliam County,Oregon,7.2,2.28
Golden Valley County,Montana,7,2.28
Wilkin County,Minnesota,7.4,2.28
Skamania County,Washington,7.5,2.29
Madison County,Nebraska,7.9,2.3
Silver Bow County,Montana,9.2,2.31
Kearny County,Kansas,8.7,2.31
St. Mary Parish,Louisiana,12,2.32
Polk County,Arkansas,7.4,2.33
Cowley County,Kansas,11.8,2.33
Tuolumne County,California,7.3,2.33
Castro County,Texas,7.2,2.34
Brewster County,Texas,7,2.35
Dawson County,Nebraska,8,2.35
Roosevelt County,New Mexico,8.3,2.36
Lincoln County,Idaho,8.7,2.36
Manistee County,Michigan,8.5,2.37
Aitkin County,Minnesota,8.5,2.38
Sutter County,California,8.4,2.38
