No Health Insurance-Percent; NaturalBreaks
Data downloaded on 20-August-2025
County_FIPS,County,State,Newly Diagnosed Diabetes-2019-Rate per 1000,No Health Insurance-2017-2021-Percentage
22089,St. Charles Parish,Louisiana,11,6
21021,Boyle County,Kentucky,11.9,6
27159,Wadena County,Minnesota,6.8,6
27071,Koochiching County,Minnesota,6.1,6
26065,Ingham County,Michigan,7.7,6
19117,Lucas County,Iowa,10.3,6
19195,Worth County,Iowa,6.8,6
21089,Greenup County,Kentucky,9.4,6
19137,Montgomery County,Iowa,8.1,6
26147,St. Clair County,Michigan,9.5,6
06067,Sacramento County,California,7.5,6
19107,Keokuk County,Iowa,8.3,6
19091,Humboldt County,Iowa,6.5,6
06063,Plumas County,California,4.1,6
17079,Jasper County,Illinois,8.8,6
09009,New Haven County,Connecticut,7.8,6
53033,King County,Washington,6.7,6.1
55051,Iron County,Wisconsin,6.2,6.1
42041,Cumberland County,Pennsylvania,9.1,6.1
42097,Northumberland County,Pennsylvania,7.6,6.1
24021,Frederick County,Maryland,7.1,6.1
24035,Queen Anne&#39;s County,Maryland,5.6,6.1
31185,York County,Nebraska,7.7,6.1
26075,Jackson County,Michigan,7.8,6.1
27049,Goodhue County,Minnesota,6.7,6.1
42047,Elk County,Pennsylvania,11.2,6.1
19007,Appanoose County,Iowa,10.1,6.1
26157,Tuscola County,Michigan,8.3,6.1
27155,Traverse County,Minnesota,8.9,6.1
36073,Orleans County,New York,13.1,6.1
17093,Kendall County,Illinois,9.8,6.1
26067,Ionia County,Michigan,13.6,6.1
27111,Otter Tail County,Minnesota,6.2,6.1
17199,Williamson County,Illinois,9,6.1
17045,Edgar County,Illinois,11.4,6.1
19089,Howard County,Iowa,5.2,6.1
27059,Isanti County,Minnesota,7,6.1
06109,Tuolumne County,California,6,6.1
17027,Clinton County,Illinois,7.4,6.1
19165,Shelby County,Iowa,8.6,6.1
19067,Floyd County,Iowa,7.6,6.1
27149,Stevens County,Minnesota,6.7,6.1
26099,Macomb County,Michigan,9.6,6.1
51099,King George County,Virginia,8.9,6.2
53063,Spokane County,Washington,7.4,6.2
55061,Kewaunee County,Wisconsin,7.4,6.2
42025,Carbon County,Pennsylvania,7.5,6.2
55069,Lincoln County,Wisconsin,6.1,6.2
55021,Columbia County,Wisconsin,5.1,6.2
55045,Green County,Wisconsin,3.9,6.2
55023,Crawford County,Wisconsin,4,6.2
51023,Botetourt County,Virginia,6,6.2
55033,Dunn County,Wisconsin,6,6.2
42095,Northampton County,Pennsylvania,9.4,6.2
21005,Anderson County,Kentucky,8.1,6.2
19003,Adams County,Iowa,8.2,6.2
26005,Allegan County,Michigan,7.5,6.2
31139,Pierce County,Nebraska,6,6.2
33017,Strafford County,New Hampshire,10.5,6.2
42049,Erie County,Pennsylvania,8.8,6.2
31159,Seward County,Nebraska,6.3,6.2
26091,Lenawee County,Michigan,9.5,6.2
21217,Taylor County,Kentucky,7.6,6.2
21101,Henderson County,Kentucky,16,6.2
29183,St. Charles County,Missouri,6.1,6.2
21157,Marshall County,Kentucky,5.8,6.2
17013,Calhoun County,Illinois,9.5,6.2
19197,Wright County,Iowa,11.3,6.2
18129,Posey County,Indiana,8.8,6.2
17067,Hancock County,Illinois,9.9,6.2
21093,Hardin County,Kentucky,9.7,6.2
17167,Sangamon County,Illinois,8,6.2
17039,De Witt County,Illinois,11.1,6.2
18171,Warren County,Indiana,12.1,6.2
08025,Crowley County,Colorado,14.9,6.2
17115,Macon County,Illinois,13.6,6.2
17113,Mclean County,Illinois,9.3,6.2
08047,Gilpin County,Colorado,5.1,6.2
55078,Menominee County,Wisconsin,18.3,6.3
55055,Jefferson County,Wisconsin,5.7,6.3
54057,Mineral County,West Virginia,11.5,6.3
54051,Marshall County,West Virginia,10.5,6.3
27081,Lincoln County,Minnesota,11.7,6.3
42133,York County,Pennsylvania,7.7,6.3
42123,Warren County,Pennsylvania,11.8,6.3
21059,Daviess County,Kentucky,11.3,6.3
36111,Ulster County,New York,7.1,6.3
42057,Fulton County,Pennsylvania,8.1,6.3
17123,Marshall County,Illinois,7.8,6.3
26109,Menominee County,Michigan,6.6,6.3
27173,Yellow Medicine County,Minnesota,6.9,6.3
19161,Sac County,Iowa,5.6,6.3
19013,Black Hawk County,Iowa,8.1,6.3
21239,Woodford County,Kentucky,6.8,6.3
24001,Allegany County,Maryland,8.5,6.3
17057,Fulton County,Illinois,5.9,6.3
21107,Hopkins County,Kentucky,16.4,6.3
18127,Porter County,Indiana,8.3,6.3
19119,Lyon County,Iowa,5.4,6.3
19037,Chickasaw County,Iowa,6.5,6.3
21197,Powell County,Kentucky,10.9,6.3
